eventId,eventName,course,tour,season,startDate,endDate,purse,winner,lastSynced
9,Arnold Palmer Invitational,Arnold Palmer's Bay Hill Club & Lodge,pga,2025,2025-03-06,2025-12-27,,,2025-12-27
483,Puerto Rico Open,Grand Reserve Golf Club,pga,2025,2025-03-06,2025-12-27,,,2025-12-27
11,THE PLAYERS Championship,TPC Sawgrass (THE PLAYERS Stadium Course),pga,2025,2025-03-13,2025-12-27,,,2025-12-27
475,Valspar Championship,Innisbrook Resort (Copperhead Course),pga,2025,2025-03-20,2025-12-27,,,2025-12-27
20,Texas Children's Houston Open,Memorial Park Golf Course,pga,2025,2025-03-27,2025-12-27,,,2025-12-27
41,Valero Texas Open,TPC San Antonio (Oaks Course),pga,2025,2025-04-03,2025-12-27,,,2025-12-27
14,Masters Tournament,Augusta National Golf Club,pga,2025,2025-04-10,2025-12-27,,,2025-12-27
12,RBC Heritage,Harbour Town Golf Links,pga,2025,2025-04-17,2025-12-27,,,2025-12-27
522,Corales Puntacana Championship,Puntacana Resort (Corales Golf Course),pga,2025,2025-04-17,2025-12-27,,,2025-12-27
18,Zurich Classic of New Orleans,TPC Louisiana,pga,2025,2025-04-24,2025-12-27,,,2025-12-27
19,THE CJ CUP Byron Nelson,TPC Craig Ranch,pga,2025,2025-05-01,2025-12-27,,,2025-12-27
480,Truist Championship,The Philadelphia Cricket Club (Wissahickon Course),pga,2025,2025-05-08,2025-12-27,,,2025-12-27
553,ONEflight Myrtle Beach Classic,Dunes Golf and Beach Club,pga,2025,2025-05-08,2025-12-27,,,2025-12-27
33,PGA Championship,Quail Hollow-PGA Championship,pga,2025,2025-05-15,2025-12-27,,,2025-12-27
21,Charles Schwab Challenge,Colonial Country Club,pga,2025,2025-05-22,2025-12-27,,,2025-12-27
23,the Memorial Tournament,Muirfield Village Golf Club,pga,2025,2025-05-29,2025-12-27,,,2025-12-27
32,RBC Canadian Open,TPC Toronto at Osprey Valley (North Course),pga,2025,2025-06-05,2025-12-27,,,2025-12-27
26,U.S. Open,Oakmont Country Club,pga,2025,2025-06-12,2025-12-27,,,2025-12-27
34,Travelers Championship,TPC River Highlands,pga,2025,2025-06-19,2025-12-27,,,2025-12-27
524,Rocket Classic,Detroit Golf Club,pga,2025,2025-06-26,2025-12-27,,,2025-12-27
30,John Deere Classic,TPC Deere Run,pga,2025,2025-07-03,2025-12-27,,,2025-12-27
541,Genesis Scottish Open,The Renaissance Club,pga,2025,2025-07-10,2025-12-27,,,2025-12-27
518,ISCO Championship,Hurstbourne Country Club,pga,2025,2025-07-10,2025-12-27,,,2025-12-27
100,The Open Championship,Royal Portrush Golf Club,pga,2025,2025-07-17,2025-12-27,,,2025-12-27
472,Barracuda Championship,Tahoe Mountain Club (Old Greenwood),pga,2025,2025-07-17,2025-12-27,,,2025-12-27
525,3M Open,TPC Twin Cities,pga,2025,2025-07-24,2025-12-27,,,2025-12-27
13,Wyndham Championship,Sedgefield Country Club,pga,2025,2025-07-31,2025-12-27,,,2025-12-27
27,FedEx St. Jude Championship,TPC Southwind,pga,2025,2025-08-07,2025-12-27,,,2025-12-27
28,BMW Championship,Caves Valley Golf Club,pga,2025,2025-08-14,2025-12-27,,,2025-12-27
60,TOUR Championship,East Lake Golf Club,pga,2025,2025-08-21,2025-12-27,,,2025-12-27
464,Procore Championship,Silverado Resort (North Course),pga,2025,2025-09-11,2025-12-27,,,2025-12-27
468,Ryder Cup,Bethpage Black,pga,2025,2025-09-28,2025-12-27,,,2025-12-27
54,Sanderson Farms Championship,The Country Club of Jackson,pga,2025,2025-10-02,2025-12-27,,,2025-12-27
527,Baycurrent Classic,Yokohama Country Club,pga,2025,2025-10-09,2025-12-27,,,2025-12-27
554,Bank of Utah Championship,Black Desert Resort,pga,2025,2025-10-23,2025-12-27,,,2025-12-27
457,World Wide Technology Championship,El Cardonal at Diamante,pga,2025,2025-11-06,2025-12-27,,,2025-12-27
528,Butterfield Bermuda Championship,Port Royal Golf Course,pga,2025,2025-11-13,2025-12-27,,,2025-12-27
493,The RSM Classic,Sea Island Golf Club (Seaside Course);Sea Island Golf Club (Plantation Course),pga,2025,2025-11-20,2025-12-27,,,2025-12-27
478,Hero World Challenge,Albany GC,pga,2025,2025-12-04,2025-12-27,,,2025-12-27
88,PGA TOUR Q-School,Sawgrass Country Club;Dye's Valley Course,pga,2025,2025-12-11,2025-12-27,,,2025-12-27
